"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"asc_car",0,NA,NA,NA,NA
"asc_bus",0.0983279936297287,0.538945858256894,0.182445030652522,0.527085255726863,0.186550453766976
"asc_air",0.906035124247517,0.337332152012023,2.68588428005886,0.330502363468413,2.74138773090531
"asc_rail",-1.15353298322979,0.323960930830862,-3.5607163501825,0.313254408586217,-3.68241579882603
"b_tt_car",-0.00996269875762086,0.00063947813065106,-15.5794205932855,0.000659574859636267,-15.1047278592682
"b_tt_bus",-0.0160099286171116,0.00144076074804424,-11.1121354734603,0.00145427637922617,-11.0088624458238
"b_tt_air",-0.0192172027852163,0.00255871794200997,-7.51048111622668,0.00243699180822994,-7.88562469529773
"b_tt_rail",-0.00313718098140929,0.00167073102831508,-1.87772952572331,0.00164441876845239,-1.90777497897436
"b_access",-0.0226477311357358,0.00267341274987949,-8.47146821483391,0.00262270378940235,-8.63526076686558
"b_cost",-0.0546493111274296,0.00143988114150204,-37.9540432555574,0.00168090869430514,-32.5117665894522
"b_female_car",0,NA,NA,NA,NA
"b_female_bus",0.135066753088341,0.121771401203476,1.10918287671379,0.164087661197055,0.823137779544175
"b_female_rail",0.174180748396761,0.0680314397121374,2.56029784367014,0.0954121091458203,1.82556228927459
"b_female_air",0.241492716201829,0.0826428007770853,2.9221264760038,0.140764109999518,1.71558443556852
