"","HOUSEID","TRAVDAY","SAMPSTRAT","HOMEOWN","HHSIZE","HHVEHCNT","HHFAMINC","PC","SPHONE","TAB","WALK","BIKE","CAR","TAXI","BUS","TRAIN","PARA","PRICE","PLACE","WALK2SAVE","BIKE2SAVE","PTRANS","HHRELATD","DRVRCNT","CNTTDHH","HHSTATE","HHSTFIPS","NUMADLT","YOUNGCHILD","WRKCOUNT","TDAYDATE","HHRESP","LIF_CYC","MSACAT","MSASIZE","RAIL","URBAN","URBANSIZE","URBRUR","SCRESP","CENSUS_D","CENSUS_R","CDIVMSAR","HH_RACE","HH_HISP","HH_CBSA","RESP_CNT","WEBUSE17","SMPLSRCE","WTHHFIN","HBHUR","HTHTNRNT","HTPPOPDN","HTRESDN","HTEEMPDN","HBHTNRNT","HBPPOPDN","HBRESDN"
"49",30000449,4,3,1,1,2,7,1,1,1,4,5,1,5,5,5,5,4,2,4,4,4,2,1,8,"GA",13,1,0,1,201604,1,1,3,3,2,1,2,1,1,5,3,53,1,2,"XXXXX",1,1,2,117.99222480121,"S",0,1500,750,750,5,750,300
"54",30000465,2,3,1,4,2,8,1,1,1,1,5,1,5,5,5,5,1,2,2,3,3,1,2,20,"GA",13,2,0,2,201611,2,6,3,2,2,2,6,1,1,5,3,53,1,2,"XXXXX",4,1,2,133.011026526012,"T",30,300,300,150,30,300,50
"56",30000478,6,3,1,2,0,3,1,5,5,1,5,1,4,5,5,5,1,1,2,4,4,1,2,2,"GA",13,2,0,0,201611,1,10,3,2,2,1,2,1,1,5,3,53,2,2,"XXXXX",2,1,2,119.868884956711,"C",70,3000,1500,750,60,3000,1500
"90",30000850,7,3,1,1,2,1,1,1,3,3,2,2,5,5,5,5,3,2,3,3,3,2,1,0,"GA",13,1,0,0,201607,1,9,3,2,2,1,2,1,1,5,3,53,1,2,"XXXXX",1,1,2,144.101069242379,"T",5,50,50,25,5,1500,300
"120",30001073,7,3,1,1,1,1,3,-9,-9,-9,-9,1,-9,-9,-9,-9,2,-9,-9,-9,-9,2,1,3,"GA",13,1,0,0,201610,1,9,3,1,2,4,6,2,1,5,3,53,2,2,"XXXXX",1,3,2,150.108534515962,"R",20,300,50,75,20,300,50
"125",30001109,6,1,2,2,0,6,1,1,5,1,5,2,4,2,2,5,5,4,4,4,4,1,1,1,"GA",13,2,0,1,201607,1,2,1,5,1,1,5,1,1,5,3,51,3,2,"12060",2,1,2,1071.43289577066,"C",70,7000,3000,3000,70,7000,3000
"137",30001249,7,4,1,2,3,7,1,5,3,-9,-9,1,-9,-9,-9,-9,3,3,3,3,3,1,2,0,"GA",13,2,0,0,201610,2,10,4,6,2,4,6,2,1,5,3,54,1,2,"XXXXX",2,1,2,694.165000847425,"T",40,300,300,75,40,300,300
"158",30001418,2,3,1,2,2,7,1,1,-9,5,5,1,5,5,5,5,3,4,5,5,5,1,2,8,"GA",13,2,0,0,201610,2,10,3,1,2,4,6,2,1,5,3,53,1,2,"XXXXX",2,1,2,66.3273781765981,"T",20,300,50,25,5,300,50
"190",30001608,4,1,2,2,2,8,1,1,1,3,5,1,3,4,4,5,3,2,3,3,1,1,2,4,"GA",13,2,0,2,201609,1,2,1,5,1,1,5,1,1,5,3,51,1,2,"12060",2,1,2,401.561673733927,"S",50,3000,1500,1500,50,7000,3000
"206",30001755,5,1,1,2,2,6,1,1,1,-9,5,1,4,5,5,5,3,3,5,5,5,1,2,12,"GA",13,2,0,0,201606,1,10,1,5,1,1,5,1,1,5,3,51,2,2,"12060",2,1,2,750.754856920926,"T",5,1500,750,750,0,1500,750
"211",30001774,3,1,1,1,0,5,1,1,1,1,2,3,3,4,1,5,5,3,1,1,1,2,0,2,"GA",13,1,0,1,201606,1,1,1,5,1,1,5,1,1,5,3,51,1,2,"12060",1,1,1,805.331565883393,"U",60,17000,17000,5000,70,17000,17000
"219",30001860,2,3,1,2,3,6,1,1,2,5,5,2,5,5,5,5,4,4,5,5,5,1,2,13,"GA",13,2,0,1,201610,1,2,3,1,2,4,6,2,1,5,3,53,1,2,"XXXXX",2,1,2,79.1035992478275,"R",5,300,50,75,5,300,50
